title,url,date,start_time,end_time,image_url,location,recurrence,category,details,source
Pic-O-Dixie Senior Classic,N/A,2024-08-21,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/ISSA-logo_200CA104-E59D-B67D-32CB0270A86C1EB7_20126d66-f2a7-2bdd-3b0d43879d7ae657.jpg",Summit of Softball Complex,"Recurring daily until August 25, 2024",N/A,N/A,Visit Chattanooga
Songwriters Collective,N/A,2024-08-21,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/collective-poster-2023_02248263-B6D4-F10B-165290B29A5310AC_02757aaa-a2a5-06b9-4a4545d66fc345a3.jpg",Gate 11 Distillery,"Recurring monthly on the 3rd Wednesday until August 21, 2024",N/A,N/A,Visit Chattanooga
History Tour (Ruby Falls),N/A,2024-08-19,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level... Cost: $ 39.95,CHA Guide Events
Night Ranger @ Walker Theatre,N/A,2024-08-20,,,N/A,Walker Theatre,,"['', '', '', '', '', '']",Night Ranger: Live in Concert... Cost: $ 59+,CHA Guide Events
Chattanooga Market at Erlanger,N/A,2024-08-21,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ... Cost: $,CHA Guide Events
Jazz Futures,N/A,2024-08-22,,,N/A,Songbirds,,"['', '', '', '', '', '']","Step into the rhythm of jazz at Jazz Futures, an innovative event blending performance with immersive education. Jazz Futures invites jazz e... Cost: $",CHA Guide Events
Gentle Walking Tour (Ruby Falls),N/A,2024-08-22,,,N/A,Ruby Falls,,"['', '', '', '', '', '']","The before-hours Gentle Walking Tour is the most in-depth tour led by senior-level guides, featuring a smaller number of participants, very ... Cost: $ 39.95",CHA Guide Events
The Guess Who in Chattanooga,N/A,2024-08-22,,,N/A,Walker Theatre,,"['', '', '', '', '', '']","Legendary Canadian band, The Guess Who, known for hits like ""American Woman"" and ""These Eyes,"" has achieved 14 Top 40 singles and is celebra... Cost: $ 28",CHA Guide Events
Nightfall 2024,N/A,2024-08-23,,,N/A,Miller Plaza & Miller Park,,"['', '', '', '', '', '']","The free Nightfall concert series, produced by Chattanooga Presents, will be held each Friday night from May 24 through August 30 2024 - rai... Cost: $",CHA Guide Events
EVENING RIDGE RUNNER,N/A,2024-08-23,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi... Cost: $ 15-24",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-08-23,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Mold! / Briteboy / The Ego Museum - Live at Yellow Racket!,N/A,2024-08-23,,,N/A,Yellow Racket Records,,"['', '', '', '', '', '']","An evening of live music with Miam-based noise-punk rockers, Mold!, featuring Chattanooga favorites, Briteboy and The Ego Museum!... Cost: $ 13.67",CHA Guide Events
Nightlife: Aquarium After-Hours,N/A,2024-08-23,,,N/A,Tennessee Aquarium,,"['', '', '', '', '', '']",Take a dip into our 21+ after hours exploration of the Aquarium's River Journey Building. This event promises to be a splash hit. Whether yo... Cost: $ 3-45,CHA Guide Events
Patrick Sweany @ Songbirds,N/A,2024-08-23,,,N/A,Songbirds,,"['', '', '', '', '', '']","Whether it's the ones he records on his albums, the ones he lays down with his band on the stage, or the ones that define his days writing s... Cost: $ 15-20",CHA Guide Events
Chattanooga River Market,N/A,2024-08-24,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w... Cost: $",CHA Guide Events
Chickamauga Turn,N/A,2024-08-24,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ... Cost: $ 58+",CHA Guide Events
Riverfront Nights,N/A,2024-08-24,,,N/A,Ross’s Landing,,"['', '', '', '', '', '']",Join Friends of the Festival for “Fourteen Saturdays of Summer” from Memorial Day to Labor Day weekend at Ross’s Landing for FREE live music... Cost: $,CHA Guide Events
EVENING RIDGE RUNNER,N/A,2024-08-24,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi... Cost: $ 15-24",CHA Guide Events
Nate Jackson @ Walker Theatre,N/A,2024-08-24,,,N/A,Walker Theatre,,"['', '', '', '', '', '']",Nate Jackson: Super Funny World Tour... Cost: $ 52+,CHA Guide Events
Chocolate Festival,N/A,2024-08-24,,,N/A,Creative Discovery Museum,,"['', '', '', '', '', '']","Throughout the day, sample different chocolates, make cocoa butter lip balm, join a cooking class to make chocolate-based treats, and learn ... Cost: $",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-08-24,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
OPEN SCRIBZ OPEN MIC,N/A,2024-08-24,,,N/A,Songbirds,,"['', '', '', '', '', '']","Featured performers include Big Fitz, Deep Thought the Lyricist out of Madison, WI , other poets and YOU!... Cost: $ 15",CHA Guide Events
Rail & Hops Brewers Festival,N/A,2024-08-24,,,N/A,Chattanooga Choo Choo - Glenn Miller Gardens,,"['', '', '', '', '', '']","August 24, 2024, | 12:00 p - 4:00 p | 21+ events, including designated driver.... Cost: $ 45-55",CHA Guide Events
The Zeitgeist,N/A,2024-08-24,,,N/A,Chattanooga Choo Choo (Corner Pocket),,"['', '', '', '', '', '']","Scholars say that each era has a unique spirit, a nature or climate that sets it apart from all other periods. In German, this is known as t... Cost: $",CHA Guide Events
Inaugural Watermelon Festival,N/A,2024-08-24,,,N/A,Old McDonald Farm,,"['', '', '', '', '', '']","Dive into the sweetness at McDonald Farm on August 24th for the ""Inaugural Watermelon Festival""! 🍉 Immerse yourself in a day dedicated to e... Cost: $",CHA Guide Events
Chocolate Festival,N/A,2024-08-24,,,N/A,Creative Discovery Museum,,"['', '', '', '', '', '']","It's back! Chocolate Festival returns to Creative Discovery Museum on Saturday, August 24 from 12-4pm.... Cost: $",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-08-25,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
SHADES OF POETRY ARTIST TALK AND PERFORMANCE SHOWCASE,N/A,2024-08-25,,,N/A,RISE Chattanooga,,"['', '', '', '', '', '']",Immerse yourself in the profound influence of Baldwin's work as it resonates through the powerful jazz compositions .... Cost: $ 28.52,CHA Guide Events
History Tour (Ruby Falls),N/A,2024-08-26,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level... Cost: $ 39.95,CHA Guide Events
Chattanooga Market at Erlanger,N/A,2024-08-28,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ... Cost: $,CHA Guide Events
Ben Sollee @ Songbirds,N/A,2024-08-28,,,N/A,Songbirds,,"['', '', '', '', '', '']","Kentucky musician and composer Ben Sollee, has been blurring boundaries with his musical style and career for nearly two decades – his lates... Cost: $ 20-25",CHA Guide Events
Gentle Walking Tour (Ruby Falls),N/A,2024-08-29,,,N/A,Ruby Falls,,"['', '', '', '', '', '']","The before-hours Gentle Walking Tour is the most in-depth tour led by senior-level guides, featuring a smaller number of participants, very ... Cost: $ 39.95",CHA Guide Events
National Treasures: Party at Point Park,N/A,2024-08-29,,,N/A,Point Park,,"['', '', '', '', '', '']",Protect YOUR Park at the 2024 National Treasures: Party at Point Park!... Cost: $ 100,CHA Guide Events
Nightfall 2024,N/A,2024-08-30,,,N/A,Miller Plaza & Miller Park,,"['', '', '', '', '', '']","The free Nightfall concert series, produced by Chattanooga Presents, will be held each Friday night from May 24 through August 30 2024 - rai... Cost: $",CHA Guide Events
EVENING RIDGE RUNNER,N/A,2024-08-30,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi... Cost: $ 15-24",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-08-30,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Yoga On The Bluff,N/A,2024-08-30,,,N/A,Lula Lake Land Trust,,"['', '', '', '', '', '']",Join Lula Lake Land Trust for an evening of hiking and instructed yoga on the gorgeous Bluff overlook! No experience necessary.... Cost: $ Donation,CHA Guide Events
Chattanooga River Market,N/A,2024-08-31,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w... Cost: $",CHA Guide Events
Chickamauga Turn,N/A,2024-08-31,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ... Cost: $ 58+",CHA Guide Events
Riverfront Nights,N/A,2024-08-31,,,N/A,Ross’s Landing,,"['', '', '', '', '', '']",Join Friends of the Festival for “Fourteen Saturdays of Summer” from Memorial Day to Labor Day weekend at Ross’s Landing for FREE live music... Cost: $,CHA Guide Events
EVENING RIDGE RUNNER,N/A,2024-08-31,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi... Cost: $ 15-24",CHA Guide Events
Battle of the Food Trucks Festival,N/A,2024-08-31,,,N/A,Camp Jordan Arena & Arena Parking Lot,,"['', '', '', '', '', '']","Vote on the BEST food truck in attendance, shop over 175 vendors, food trucks, inflatables, petting zoo, pony rides, face painting, trackles... Cost: $ 0-5",CHA Guide Events
The Grand Market,N/A,2024-08-31,,,N/A,Coolidge Park,,"['', '', '', '', '', '']","🛍️ Get ready for a day of fun and festivities at ‘The Grand Market’! ☀️ Immerse yourself in live music, sip on refreshing drinks, and explo... Cost: $",CHA Guide Events
Open Gate Day,N/A,2024-08-31,,,N/A,Lula Lake Land Trust,,"['', '', '', '', '', '']","Spend your day in nature at Lula Lake Land Trust with 8+ miles of trails, bluff views, and a 120-foot waterfall... adventure awaits!... Cost: $ 16-40",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-09-01,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Open Gate Day,N/A,2024-09-01,,,N/A,Lula Lake Land Trust,,"['', '', '', '', '', '']","Spend your day in nature at Lula Lake Land Trust with 8+ miles of trails, bluff views, and a 120-foot waterfall... adventure awaits!... Cost: $ 16-40",CHA Guide Events
Labor Day Brunch at Whitebird/The Edwin Hotel,N/A,2024-09-02,,,N/A,Whitebird,,"['', '', '', '', '', '']","Join Whitebird for a special Labor Day Brunch from 10:30 AM to 1:00 PM. Indulge in delicious brunch favorites, enjoy refreshing beverages, a... Cost: $",CHA Guide Events
History Tour (Ruby Falls),N/A,2024-09-02,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level... Cost: $ 39.95,CHA Guide Events
Chattanooga Market at Erlanger,N/A,2024-09-04,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ... Cost: $,CHA Guide Events
Candlelight: Tribute to Beyoncé,N/A,2024-09-05,,,N/A,The Beverly Ballroom at Hotel Chalet,,"['', '', '', '', '', '']","Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like never seen before in Chatta... Cost: $ 42+",CHA Guide Events
Gentle Walking Tour (Ruby Falls),N/A,2024-09-05,,,N/A,Ruby Falls,,"['', '', '', '', '', '']","The before-hours Gentle Walking Tour is the most in-depth tour led by senior-level guides, featuring a smaller number of participants, very ... Cost: $ 39.95",CHA Guide Events
Daniel Champagne @ Songbirds,N/A,2024-09-05,,,N/A,Songbirds,,"['', '', '', '', '', '']","Growing up in the Bega Valley on the Far South Coast of New South Wales, Australia, the story goes that the young singer-songwriter and one ... Cost: $ 25-30",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-09-06,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Citizens @ Songbirds,N/A,2024-09-06,,,N/A,Songbirds,,"['', '', '', '', '', '']","Writing songs with honesty and artistry–songs that tell true stories of their journeys–is the heartbeat of Zach, Brian, Connor, Adam, and Da... Cost: $ 18-55",CHA Guide Events
Chattanooga River Market,N/A,2024-09-07,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w... Cost: $",CHA Guide Events
Chickamauga Turn,N/A,2024-09-07,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ... Cost: $ 58+",CHA Guide Events
EVENING RIDGE RUNNER,N/A,2024-09-07,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi... Cost: $ 15-24",CHA Guide Events
BEND & BOOCH ( YOGA X KOMBUCHA),N/A,2024-09-07,,,N/A,Chattanooga Culture,,"['', '', '', '', '', '']","Get ready to bend, stretch, and sip on some delicious kombucha at our BEND & BOOCH event... Cost: $ 17",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-09-07,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Fall Market at the Greenway,N/A,2024-09-07,,,N/A,Greenway Park & Pavilion,,"['', '', '', '', '', '']","The Fall Market at the Greenway will include over 150 craft and commercial vendors, food trucks, entertainment on stage, petting zoo, pony r... Cost: $",CHA Guide Events
Chickamauga Jeep and Music Fest,N/A,2024-09-07,,,N/A,The Shops of 1910,,"['', '', '', '', '', '']","Get ready for a wild weekend of off-roading, live music, and good vibes at the Chickamauga Jeep and Music Fest!... Cost: $ 25",CHA Guide Events
Open Gate Day,N/A,2024-09-07,,,N/A,Lula Lake Land Trust,,"['', '', '', '', '', '']","Spend your day in nature at Lula Lake Land Trust with 8+ miles of trails, bluff views, and a 120-foot waterfall... adventure awaits!... Cost: $ 16-40",CHA Guide Events
Open Gate Day,N/A,2024-09-07,,,N/A,Lula Lake Land Trust,,"['', '', '', '', '', '']","Spend your day in nature at Lula Lake Land Trust with 8+ miles of trails, bluff views, and a 120-foot waterfall... adventure awaits!... Cost: $ 16-40",CHA Guide Events
Surviving & Thriving 2024- EXHIBITORS,N/A,2024-09-07,,,N/A,Chattanooga State Community College - Health Science Center,,"['', '', '', '', '', '']",This third annual symposium is designed for men and woman who have been impacted by cancer.... Cost: $ 0/500,CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-09-08,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Grandparents' Day @ CDM,N/A,2024-09-08,,,N/A,Creative Discovery Museum,,"['', '', '', '', '', '']",Join CDM for a special Grandparents' Day event from 12-3 pm! Celebrate the wisdom and stories of the older generation as grandchildren inter... Cost: $,CHA Guide Events
Alison Brown @ Songbirds,N/A,2024-09-08,,,N/A,Songbirds,,"['', '', '', '', '', '']","One of the most multi-faceted minds in roots music, Alison Brown is a GRAMMY-winning musician, GRAMMY-nominated producer, former investment ... Cost: $ 38-55",CHA Guide Events
History Tour (Ruby Falls),N/A,2024-09-09,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level... Cost: $ 39.95,CHA Guide Events
Chattanooga Market at Erlanger,N/A,2024-09-11,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ... Cost: $,CHA Guide Events
Gentle Walking Tour (Ruby Falls),N/A,2024-09-12,,,N/A,Ruby Falls,,"['', '', '', '', '', '']","The before-hours Gentle Walking Tour is the most in-depth tour led by senior-level guides, featuring a smaller number of participants, very ... Cost: $ 39.95",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-09-13,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Southern Drawl — Music + Food Series @ Songbirds,N/A,2024-09-13,,,N/A,Songbirds,,"['', '', '', '', '', '']",Prepare for an evening of Southern charm and entertainment as Chattanooga's own Southern Drawl takes the stage for an enchanting night of Do... Cost: $ 50-125,CHA Guide Events
"Mali Velasquez, Bloomsday",N/A,2024-09-13,,,N/A,Cherry Street Tavern,,"['', '', '', '', '', '']",Mail Velasquez and Bloomsday at Cherry Street Tavern 9/13.... Cost: $ 17.85,CHA Guide Events
Chattanooga River Market,N/A,2024-09-14,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w... Cost: $",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-09-14,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Andy McKee with Trevor Gordon Hall @ Songbirds,N/A,2024-09-14,,,N/A,Songbirds,,"['', '', '', '', '', '']",Andy McKee is one of the world’s finest acoustic guitarists and it’s evident from the accolades he’s received throughout his career. It’s hi... Cost: $ 25-30,CHA Guide Events
Paddle for PanCAN 2024,N/A,2024-09-14,,,N/A,Suck Creek Boat Launch,,"['', '', '', '', '', '']",Join River Gorge Excursions for the Paddle for PanCan 2024! This is a kayak/paddleboard 5K to raise money to fight against Pancreatic Cancer... Cost: $ 44.52,CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-09-15,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
History Tour (Ruby Falls),N/A,2024-09-16,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level... Cost: $ 39.95,CHA Guide Events
Chattanooga Market at Erlanger,N/A,2024-09-18,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ... Cost: $,CHA Guide Events
Gentle Walking Tour (Ruby Falls),N/A,2024-09-19,,,N/A,Ruby Falls,,"['', '', '', '', '', '']","The before-hours Gentle Walking Tour is the most in-depth tour led by senior-level guides, featuring a smaller number of participants, very ... Cost: $ 39.95",CHA Guide Events
THE HOMEFRONT TEA ROOM,N/A,2024-09-20,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55",CHA Guide Events
Chickamauga Dam Lock Kayak Tour,N/A,2024-08-19,,,https://www.chattanoogapulse.com/downloads/30593/download/PXL_20240802_155527261%7E3.jpg?cb=acf96a4abe66f86623600a790aa0db53&w=220&h=,Tennessee Riverpark (Hubert Fry Center Oval),N/A,"['Education & Learning, Kids & Family, Outdoor']",Kayak through a dam lock on this beginner friendly tour. Learn the history of TVA and flood damage in the Tennessee Valley! Read more,Chattanooga Pulse
Bat Cave Kayak Tour with Chattanooga Guided Adventures,N/A,,,,https://www.chattanoogapulse.com/downloads/30592/download/PXL_20240317_231122463.jpg?cb=dc76234db6bf6ac8c662f89b5fa96df7&w=220&h=,Nickajack Bat Cave Maple View Recreation Area,N/A,"['Education & Learning, Kids & Family, Outdoor']","Book a guided kayak tour to see thousands of endangered bats, learn bat facts, and how to help bat populations! Read more",Chattanooga Pulse
Gate 11 Monday Night Blues Jam,N/A,,,,https://www.chattanoogapulse.com/downloads/26536/download/346267141_793828828666148_8086156455016631366_n.jpg?cb=3c93c436848f16af9266385cc275f4b8&w=220&h=,Gate 11 Distillery,N/A,['Concerts & Live Music'],Set in with the Robin Baker Blues Band as we celebrate the blues every Monday from 8:00pm-10:00pm. Read more,Chattanooga Pulse
Alien: Romulus in IMAX!,N/A,,,,https://www.chattanoogapulse.com/downloads/30682/download/ALN-TF-RainElevator%20%281%29.jpg?cb=152e292048143728eaa94c7cddb2e831&w=220&h=,Tennessee Aquarium IMAX 3D Theater,N/A,['Film'],"The sci-fi/horror-thriller takes the phenomenally successful “Alien” franchise back to its roots: While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form i... Read more",Chattanooga Pulse
Chickamauga Dam Lock Kayak Tour,N/A,2024-08-20,,,https://www.chattanoogapulse.com/downloads/30593/download/PXL_20240802_155527261%7E3.jpg?cb=acf96a4abe66f86623600a790aa0db53&w=220&h=,Tennessee Riverpark (Hubert Fry Center Oval),N/A,"['Education & Learning, Kids & Family, Outdoor']",Kayak through a dam lock on this beginner friendly tour. Learn the history of TVA and flood damage in the Tennessee Valley! Read more,Chattanooga Pulse
Joggers & Lagers,N/A,,,,https://www.chattanoogapulse.com/downloads/16190/download/joggers%20%26%20lagers.png?cb=ccf918643a4c2d1a569ebfe82f3ddd7c&w=220&h=,Chattanooga Brewing Company,N/A,"['Outdoor, This & That']","Lace-up your sneaks and join us for a fun and FREE 5K every Tuesday before Brewga! We will start at the brewery, run 1.5m along the Riverwalk, and then make our way back to enjoy a Burger + Beer for just $10! Read more",Chattanooga Pulse
