title,url,date,start_time,end_time,image_url,location,recurrence,category,details
Alison Brown @ Songbirds,N/A,2024-09-08,,,N/A,Songbirds,,"['', '', '', '', '', '']","One of the most multi-faceted minds in roots music, Alison Brown is a GRAMMY-winning musician, GRAMMY-nominated producer, former investment ... Cost: $ 38-55"
History Tour (Ruby Falls),N/A,2024-09-09,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level... Cost: $ 39.95
Chattanooga Market at Erlanger,N/A,2024-09-11,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ... Cost: $
Gentle Walking Tour (Ruby Falls),N/A,2024-09-12,,,N/A,Ruby Falls,,"['', '', '', '', '', '']","The before-hours Gentle Walking Tour is the most in-depth tour led by senior-level guides, featuring a smaller number of participants, very ... Cost: $ 39.95"
THE HOMEFRONT TEA ROOM,N/A,2024-09-13,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55"
Southern Drawl — Music + Food Series @ Songbirds,N/A,2024-09-13,,,N/A,Songbirds,,"['', '', '', '', '', '']",Prepare for an evening of Southern charm and entertainment as Chattanooga's own Southern Drawl takes the stage for an enchanting night of Do... Cost: $ 50-125
"Mali Velasquez, Bloomsday",N/A,2024-09-13,,,N/A,Cherry Street Tavern,,"['', '', '', '', '', '']",Mail Velasquez and Bloomsday at Cherry Street Tavern 9/13.... Cost: $ 17.85
Chattanooga River Market,N/A,2024-09-14,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w... Cost: $"
THE HOMEFRONT TEA ROOM,N/A,2024-09-14,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55"
Andy McKee with Trevor Gordon Hall @ Songbirds,N/A,2024-09-14,,,N/A,Songbirds,,"['', '', '', '', '', '']",Andy McKee is one of the world’s finest acoustic guitarists and it’s evident from the accolades he’s received throughout his career. It’s hi... Cost: $ 25-30
Paddle for PanCAN 2024,N/A,2024-09-14,,,N/A,Suck Creek Boat Launch,,"['', '', '', '', '', '']",Join River Gorge Excursions for the Paddle for PanCan 2024! This is a kayak/paddleboard 5K to raise money to fight against Pancreatic Cancer... Cost: $ 44.52
THE HOMEFRONT TEA ROOM,N/A,2024-09-15,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55"
History Tour (Ruby Falls),N/A,2024-09-16,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level... Cost: $ 39.95
Chattanooga Market at Erlanger,N/A,2024-09-18,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ... Cost: $
Gentle Walking Tour (Ruby Falls),N/A,2024-09-19,,,N/A,Ruby Falls,,"['', '', '', '', '', '']","The before-hours Gentle Walking Tour is the most in-depth tour led by senior-level guides, featuring a smaller number of participants, very ... Cost: $ 39.95"
THE HOMEFRONT TEA ROOM,N/A,2024-09-20,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Attention all tea lovers: TVRM’s Homefront Tea Room, A Tea in the Depot Experience... Cost: $ 40-55"
