title,url,date,start_time,end_time,image_url,location,recurrence,category,details
Chattanooga Market at Erlanger,N/A,2024-08-21,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Nightfall 2024,N/A,2024-08-23,,,N/A,Miller Plaza & Miller Park,,"['', '', '', '', '', '']","The free Nightfall concert series, produced by Chattanooga Presents, will be held each Friday night from May 24 through August 30 2024 - rai...Cost: $"
EVENING RIDGE RUNNER,N/A,2024-08-23,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
Chattanooga River Market,N/A,2024-08-24,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
Chickamauga Turn,N/A,2024-08-24,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ...Cost: $58+"
Riverfront Nights,N/A,2024-08-24,,,N/A,Ross’s Landing,,"['', '', '', '', '', '']",Join Friends of the Festival for “Fourteen Saturdays of Summer” from Memorial Day to Labor Day weekend at Ross’s Landing for FREE live music...Cost: $
EVENING RIDGE RUNNER,N/A,2024-08-24,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
Nate Jackson @ Walker Theatre,N/A,2024-08-24,,,N/A,Walker Theatre,,"['', '', '', '', '', '']",Nate Jackson: Super Funny World Tour...Cost: $52+
Chocolate Festival,N/A,2024-08-24,,,N/A,Creative Discovery Museum,,"['', '', '', '', '', '']","Throughout the day, sample different chocolates, make cocoa butter lip balm, join a cooking class to make chocolate-based treats, and learn ...Cost: $"
History Tour (Ruby Falls),N/A,2024-08-26,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level...Cost: $39.95
Chattanooga Market at Erlanger,N/A,2024-08-28,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Nightfall 2024,N/A,2024-08-30,,,N/A,Miller Plaza & Miller Park,,"['', '', '', '', '', '']","The free Nightfall concert series, produced by Chattanooga Presents, will be held each Friday night from May 24 through August 30 2024 - rai...Cost: $"
EVENING RIDGE RUNNER,N/A,2024-08-30,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
Chattanooga River Market,N/A,2024-08-31,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
Chickamauga Turn,N/A,2024-08-31,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ...Cost: $58+"
Riverfront Nights,N/A,2024-08-31,,,N/A,Ross’s Landing,,"['', '', '', '', '', '']",Join Friends of the Festival for “Fourteen Saturdays of Summer” from Memorial Day to Labor Day weekend at Ross’s Landing for FREE live music...Cost: $
EVENING RIDGE RUNNER,N/A,2024-08-31,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
Labor Day Brunch at Whitebird/The Edwin Hotel,N/A,2024-09-02,,,N/A,Whitebird,,"['', '', '', '', '', '']","Join Whitebird for a special Labor Day Brunch from 10:30 AM to 1:00 PM. Indulge in delicious brunch favorites, enjoy refreshing beverages, a...Cost: $"
History Tour (Ruby Falls),N/A,2024-09-02,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level...Cost: $39.95
Chattanooga Market at Erlanger,N/A,2024-09-04,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Candlelight: Tribute to Beyoncé,N/A,2024-09-05,,,N/A,The Beverly Ballroom at Hotel Chalet,,"['', '', '', '', '', '']","Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like never seen before in Chatta...Cost: $42+"
Chattanooga River Market,N/A,2024-09-07,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
Chickamauga Turn,N/A,2024-09-07,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ...Cost: $58+"
EVENING RIDGE RUNNER,N/A,2024-09-07,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
History Tour (Ruby Falls),N/A,2024-09-09,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level...Cost: $39.95
Chattanooga Market at Erlanger,N/A,2024-09-11,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Chattanooga River Market,N/A,2024-09-14,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
History Tour (Ruby Falls),N/A,2024-09-16,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level...Cost: $39.95
Chattanooga Market at Erlanger,N/A,2024-09-18,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Chattanooga River Market,N/A,2024-09-21,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
Chickamauga Turn,N/A,2024-09-21,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ...Cost: $58+"
2024 CBD Plus Cannabis Music Festival,N/A,2024-09-21,,,N/A,Coolidge Park,,"['', '', '', '', '', '']","Get ready to groove and embrace the green vibes, where live music and the finest cannabis products come together!...Cost: $"
Chickamauga Turn,N/A,2024-09-22,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ...Cost: $58+"
History Tour (Ruby Falls),N/A,2024-09-23,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level...Cost: $39.95
Chattanooga Market at Erlanger,N/A,2024-09-25,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Intermission - A celebration of the arts in Chattanooga,N/A,2024-09-25,,,N/A,Chattanooga Theater Center,,"['', '', '', '', '', '']",Spend an enchanting evening celebrating the arts in Chattanooga! ArtsBuild is thrilled to present the 2024 Ruth Holmberg Arts Leadership Awa...Cost: $155
Chickamauga Turn,N/A,2024-09-27,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ...Cost: $58+"
Chattanooga River Market,N/A,2024-09-28,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
KIC Food Truck Festival & Expo,N/A,2024-09-28,,,N/A,Kitchen Incubator of Chattanooga,,"['', '', '', '', '', '']",Get ready for the 2nd Annual Food Truck Festival & Expo at the Kitchen Incubator of Chattanooga on September 28th from 4:00 PM to 9:00 PM ! ...Cost: $
History Tour (Ruby Falls),N/A,2024-09-30,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level...Cost: $39.95
Chattanooga Market at Erlanger,N/A,2024-10-02,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
OVO – a buzzing Cirque du Soleil spectacular,N/A,2024-10-03,,,N/A,McKenzie Arena,,"['', '', '', '', '', '']","Cirque du Soleil is thrilled to announce its return to Chattanooga, Tennessee, with its newly revisited high-energy and high-acrobatic produ...Cost: $"
Chattanooga River Market,N/A,2024-10-05,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
Chattanooga Market at Erlanger,N/A,2024-10-09,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Chattanooga Market at Erlanger,N/A,2024-10-16,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Chattanooga River Market,N/A,2024-10-19,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
Chattanooga Market at Erlanger,N/A,2024-10-23,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
