title,url,date,start_time,end_time,image_url,location,recurrence
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-22,2024-08-23,,,,Tennessee Valley Railroad Museum,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-42,2024-08-24,,,,Tennessee Aquarium Plaza,
Chickamauga Turn,https://www.cha.guide/events/events/chickamauga-turn-19,2024-08-24,,,,Tennessee Valley Railroad Museum,
Riverfront Nights,https://www.cha.guide/events/events/riverfront-nights-13,2024-08-24,,,,Ross’s Landing,
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-23,2024-08-24,,,,Tennessee Valley Railroad Museum,
Nate Jackson @ Walker Theatre,https://www.cha.guide/events/events/nate-jackson-walker-theatre,2024-08-24,,,,Walker Theatre,
Chocolate Festival,https://www.cha.guide/events/events/chocolate-festival,2024-08-24,,,,Creative Discovery Museum,
History Tour (Ruby Falls),https://www.cha.guide/events/events/history-tour-ruby-falls-3,2024-08-26,,,,Ruby Falls,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-47,2024-08-28,,,,Erlanger Medical Mall,
Nightfall 2024,https://www.cha.guide/events/events/nightfall-2024-15,2024-08-30,,,,Miller Plaza & Miller Park,
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-24,2024-08-30,,,,Tennessee Valley Railroad Museum,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-43,2024-08-31,,,,Tennessee Aquarium Plaza,
Chickamauga Turn,https://www.cha.guide/events/events/chickamauga-turn-20,2024-08-31,,,,Tennessee Valley Railroad Museum,
Riverfront Nights,https://www.cha.guide/events/events/riverfront-nights-15,2024-08-31,,,,Ross’s Landing,
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-25,2024-08-31,,,,Tennessee Valley Railroad Museum,
Labor Day Brunch at Whitebird/The Edwin Hotel,https://www.cha.guide/events/events/labor-day-brunch-at-whitebird-the-edwin-hotel,2024-09-02,,,,Whitebird,
History Tour (Ruby Falls),https://www.cha.guide/events/events/history-tour-ruby-falls-4,2024-09-02,,,,Ruby Falls,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-48,2024-09-04,,,,Erlanger Medical Mall,
Candlelight: Tribute to Beyoncé,https://www.cha.guide/events/events/candlelight-tribute-to-beyonce,2024-09-05,,,,The Beverly Ballroom at Hotel Chalet,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-44,2024-09-07,,,,Tennessee Aquarium Plaza,
Chickamauga Turn,https://www.cha.guide/events/events/chickamauga-turn-21,2024-09-07,,,,Tennessee Valley Railroad Museum,
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-26,2024-09-07,,,,Tennessee Valley Railroad Museum,
History Tour (Ruby Falls),https://www.cha.guide/events/events/history-tour-ruby-falls-5,2024-09-09,,,,Ruby Falls,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-49,2024-09-11,,,,Erlanger Medical Mall,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-45,2024-09-14,,,,Tennessee Aquarium Plaza,
History Tour (Ruby Falls),https://www.cha.guide/events/events/history-tour-ruby-falls-6,2024-09-16,,,,Ruby Falls,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-50,2024-09-18,,,,Erlanger Medical Mall,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-46,2024-09-21,,,,Tennessee Aquarium Plaza,
Chickamauga Turn,https://www.cha.guide/events/events/chickamauga-turn-22,2024-09-21,,,,Tennessee Valley Railroad Museum,
2024 CBD Plus Cannabis Music Festival,https://www.cha.guide/events/events/2024-cbd-plus-cannabis-music-festival,2024-09-21,,,,Coolidge Park,
Chickamauga Turn,https://www.cha.guide/events/events/chickamauga-turn-23,2024-09-22,,,,Tennessee Valley Railroad Museum,
History Tour (Ruby Falls),https://www.cha.guide/events/events/history-tour-ruby-falls-7,2024-09-23,,,,Ruby Falls,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-51,2024-09-25,,,,Erlanger Medical Mall,
Intermission - A celebration of the arts in Chattanooga,https://www.cha.guide/events/events/intermission-a-celebration-of-the-arts-in-chattanooga,2024-09-25,,,,Chattanooga Theater Center,
Chickamauga Turn,https://www.cha.guide/events/events/chickamauga-turn-24,2024-09-27,,,,Tennessee Valley Railroad Museum,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-47,2024-09-28,,,,Tennessee Aquarium Plaza,
KIC Food Truck Festival & Expo,https://www.cha.guide/events/events/kic-food-truck-festival-expo,2024-09-28,,,,Kitchen Incubator of Chattanooga,
History Tour (Ruby Falls),https://www.cha.guide/events/events/history-tour-ruby-falls-8,2024-09-30,,,,Ruby Falls,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-52,2024-10-02,,,,Erlanger Medical Mall,
OVO – a buzzing Cirque du Soleil spectacular,https://www.cha.guide/events/events/ovo-a-buzzing-cirque-du-soleil-spectacular,2024-10-03,,,,McKenzie Arena,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-48,2024-10-05,,,,Tennessee Aquarium Plaza,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-53,2024-10-09,,,,Erlanger Medical Mall,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-54,2024-10-16,,,,Erlanger Medical Mall,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-49,2024-10-19,,,,Tennessee Aquarium Plaza,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-55,2024-10-23,,,,Erlanger Medical Mall,
